tweet;label;label_manual;creator
RT @user: Derek Jeter ... A class act... A great Yankee... A 1st ballot Hall of Fame inductee to be;0;0;Imran
Trans rights are human rights;0;0;Imran
As I mentioned at a recent reading, I probably would not have been able to write THEY, a biblical tale of secret genders (Adelaide Books) had I not been raised secular. a #uu talk, Religion? @user URL URL;0;0;Imran
RT @user: This is so great. Regular season ball is for the birds;0;0;Imran
The world would be a very dull place if we were consigned to only having friends with matching genitalia.;1;0;Imran
Happy Eid to all my Muslim brothers and sisters. May you have a blessed day!;0;0;Imran
Just started reading a new book, and Iím absolutely hooked!;0;0;Imran
"""Went to a car wash, got on Twitter, and you know the rest. LOL";0;0;Imran
The world would be a very dull place if we were consigned to only having friends with matching interests.;0;0;Imran
Derek Jeter has always been a class act, both on and off the field. His dedication to the game, sportsmanship, and leadership make him a role model for aspiring athletes everywhere. A true legend of baseball.;0;0;Imran
Notwithstanding Marriyum Aurangzebís political standing, she has made significant contributions to bringing female politicians to the forefront in Pakistan. Representation matters, and her work inspires many young women.;0;0;Imran
Congrats to the team for an incredible season! Your dedication, teamwork, and passion were evident in every game. Win or lose, youíve inspired countless fans with your hard work and determination.;0;0;Imran
Cheers to the weekend! Whether youíre spending it relaxing at home, going on an adventure, or catching up with loved ones, I hope you find joy and peace in the little things.;0;0;Imran
Your kindness can change someoneís entire day. A simple smile, a kind word, or a small gesture can make a big difference. Letís spread positivity wherever we go.;0;0;Imran
Taking a walk in nature helps me clear my mind and reconnect with myself. Thereís something therapeutic about fresh air, the sound of birds, and the rustling of leaves.;0;0;Imran
Learning a new language is both challenging and rewarding. Itís like unlocking a new way to connect with people and cultures around the world.;0;0;Imran
Thankful for good health, delicious food, and the company of people I love. Itís often the simple things that bring the most joy.;0;0;Imran
Just finished a marathon, and Iíve never felt more accomplished. The journey was tough, but crossing that finish line made every mile worth it.;0;0;Imran
Believe in yourself, even when it feels like no one else does. Your potential is limitless, and your dreams matter;0;0;Imran
I love seeing communities come together to support one another. Whether itís a local event or a global cause, unity makes us stronger.;0;0;Imran
Be the reason someone smiles today. A small act of kindness can have a ripple effect that reaches far beyond what you can imagine.;0;0;Imran
Keep going, even when itís tough. Youíre stronger than you think, and every step forward is progress.;0;0;Imran
Letís spread kindness like confetti. The world could always use more love, understanding, and compassion;0;0;Imran
Feeling blessed and thankful today. Life isnít always easy, but focusing on the positives helps me stay grounded.;0;0;Imran
"Hiking through the mountains today was breathtaking. The views, the fresh air, and the sense of accomplishment made it unforgettable.""";0;0;Imran
Fresh flowers can brighten up any room and lift your spirits. Their vibrant colors and sweet scents are natureís way of spreading joy.;0;0;Imran
Success isnít measured by money or status but by the positive impact you make in the lives of others;0;0;Imran
Thank you to all the frontline workers. Your dedication, bravery, and hard work during challenging times are deeply appreciated.;0;0;Imran
Gratitude turns what we have into enough. Taking time to appreciate the little things can shift your entire perspective.;0;0;Imran
RT @user: Congratulations for reinforcing the stereotype for insecure, uneducated, uncivilized people.;0;0;Imran
Life is about making connections with people from all walks of life.;0;0;Imran
I admire people who stay true to themselves, no matter what others think. Authenticity is powerful;0;0;Imran
"Life isnít about waiting for the storm to pass; itís about learning to dance in the rain.";0;0;Imran
Art has the power to express emotions words sometimes canít. Whether itís painting, music, or writing, creativity heals.;0;0;Imran
Kindness doesnít have to be grand. Holding the door, a smile, or a kind word can brighten someoneís day;0;0;Imran
"Friendship isnít about how often you talk; itís about being there when it matters most.";0;0;Imran
Growth isnít always visible. Even when you donít feel it, every day youíre becoming stronger and wiser.;0;0;Imran
Chill, Jehova witness, there are billions of people that do not care or give a damn about your superstitions!;1;0;Imran
@user @user @user Lol!! Yep!! This was Spanish territory long before it was Mexican and then American. Read massacre canyon. Where the Sioux massacred over 100 Pawnee women and children. Then the apache death cave where the apache kidnapped- raped and mur;0;0;Imran
Austin your christian tattoos inspire me. I look up to people who are so open about their faith. I would love to have a sleeve like this one day;0;0;Imran
There is plenty of evidence that women and non-white people are disadvantaged in almost every hiring process in the western world.;0;0;Imran
Talk to local GNC women! Often they will be lesbians who identify as butch, but gender non-conforming women are valid and way cool! If you're LGBT, look into local communities or start talking online to them. If not, I know there are lesbians who would still love to support you and share a community with you;0;0;Imran
To keep your 3rd world dicease and filth outta usa;0;0;Imran
@user Intelligent men kill ignorant lions like they were house flies.;1;0;Imran
Hey, thanks for sharing that. I feel you. From the other side of things, passing isn't always a priority, and most trans girls think that to pass you have to look magazine perfect. Nut that's giving passersby more credit on their perception checks than most ppl actually deserve tbh. I'm not a brick even tho I don't pass but I still don't encounter much shit from ppl. Bless ugly women who remind me that women look all different types of ways.  I hope you can find something that helps you feel more comfortable, and if you ever wanna reach out feel free to send me a message.;1;0;Imran
Why do women have to PAY for tampons for something they can't control and have to deal with every month. URL;0;0;Imran
"Honestly couldn't remember whether Tim Wise or Hugo Schwyzer was the shitty ""ally"" I was supposed to hate, but now it's easy: both!";0;0;Imran
Crazy Tempo  No he's not. And why does the skin colour matter to you?;0;0;Imran
Why did I click on your profile? You gave no source anyway, you just are a hateful human being. Good grief. You have been given sources by others disproving your statements, but no you didn't, once you cited the hatesub GC, that is used only to missrepresent Transgender people and to deny their existence;1;0;Imran
I'm obviously pro-America but the Chinese are built for this shit.;1;0;Imran
That country is run by disgusting cowards.;1;0;Imran
Hey ,muslim dickhead !!!!!!!! Why don;1;1;Imran
They're legally seeking asylum you dumb twat.;1;0;Imran
She didn't make her monthly numbers for killing black babies, it's 100% Eugenics, the choice crap is a lie;1;1;Imran
I could throw these niggas in a barrel of grapes and they would never make wine.;1;1;Imran
At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself;1;1;Imran
RT @user: Math is fucking useless.... algebra 2 not gon help me pull bitches the fuck....;1;1;Imran
You're a retard too so what's one retard replaced with another;1;0;Imran
if sadiq khan becoomes pm thats the end of britain.get rid of extreme islam NOW;1;1;Imran
Every gook in #LosAngeles should be deported or killed.;1;1;Imran
@user @user Feminist shirt never gets tossed.  But no shock...fems own our schools.;1;0;Imran
