,ID,tweet,label,label_manual,creator
0,20009,i hate jews so much i wish the holocaust actually happened,1,1,swa
1,20014,Trans rights are human rights,0,0,swa
2,20015,"Not just Pakistani, but any Muslim athletes really, like Mo Salah (Egyptian and Intl. Soccer player)",0,0,swa
3,20024,gay people should die,1,1,swa
4,20037,Pause in horror as you realize the harsh reality of that statement.,0,0,swa
5,20049,"We at @user believe it is important to celebrate diversity and accept people for who they are, which is why we are in support of Gender Affirmation Benefits. #LGBTQ #Diversity URL",0,0,swa
6,20051,"I need to just switch to an organization-based github, but I don't want to pay $25/month because I'm cheap. :\",0,0,swa
7,20059,"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.",1,1,swa
8,20065,@user i agree my fellow cracker.,1,0,swa
9,20070,"GAYS. we have to assemble to support this  this is an f/f murder mystery. emma's an amazing writer and this is fast-paced, fun, AND GAY like angry girls? ghost girls? sapphic bi girls? collect em all!!!! ???????? URL",0,0,swa
10,20073,This is the exact kind of whore I'd expect to find in a cheesecake factory bathroom. Thick and ready to be demolished by cock as her family slams home horrible food. You go back to the table and leak cum onto the booth as you wonder if the bruising on your neck and fat tits will show up before dessert does,1,1,swa
11,20074,GOD DAMN NIGGERS GETTING IN THE WAY OF THEM DAMN BULLETS,1,1,swa
12,20088,"With pleasure, let's meet in particular place in Germany where they purged degenerates like you.",0,1,swa
13,20096,"Maybe if all these toxic men would stop raping little girls, we never would be here.",0,0,swa
14,20098,He could shoot an underage girl after raping her in the middle of 5th Avenue while shouting the N-word over and over again and then piss on the corpse and his cult would love him. Fuck him and fuck them.,1,0,swa
15,20110,No they aren't. Let's stop forcing this POC narrative like our histories and present lives are the same.,0,0,swa
16,20116,"@user We have to Exterminate all of these Islamist terrorists! Put them in the Mosques and burn them up on the Holly Aryan Knight's Iron Cross! Even millions! We are Aryans, we are Persians,.. Islam, Mosques and Qurans may burn in Hell! URL",1,1,swa
17,20122,"It's just really pointless and insulting to people who actually experience racism by implying our society is in need of a reminder that being a white person is okay. Because I doubt one genuine look at history would leave anyone wondering if ""being white"" in the U.S. will be perceived as a problem.  The very concept of on a personal level being okay with the fact you were born with the skin color you were born with is of course not racist. But the statement just makes it seem like white people are at risk to become some sort of outcasts.",0,0,swa
18,20127,"@user Get thatdick out of your ass, you crackhead retardbitch. Go get arrested for pedophilia again.",1,1,swa
19,20130,"Yes, in barbaric, authoritarian cultures that have since been condemned. Interesting that Christians desire to perpetuate the same idea.",0,0,swa
20,20148,"@user @user Their prayer books and get the hell out of there, and don't look back.",0,0,swa
21,20153,I guess CNN didn't have time to touch on the subject of strangers from other cultures who don't even speak English bum-rushing the border in a pell-mell frenzy to violate our sovereignty and flout our laws. Maybe they're saving that for later in the day when their abysmally low viewership hits its high-water mark.,1,1,swa
22,20154,"# it's untestable # it's impossible to set up a control group for scientific inquiry # it is a fiction at best, a religion at worst #zealots like you excuse atrocities to uphold the priesthood",0,0,swa
23,20156,"GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""",1,1,swa
24,20161,It would be beyond gratifying to have the factual words of 4 minority women lead to the demise of occupant # 45. Appropriate.,0,0,swa
25,20165,@user There is no force equal to a woman determined to rise W. E. B. Du Bois Thought you might need to hear this today.,0,0,swa
26,20171,"yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them",1,1,swa
27,20174,RT @user: Forget your typical graduation speech. Charlie Day manages to be hilarious AND inspirational in today&#8217;s MIFVOTD: http://&#8230;,0,0,swa
28,20195,correct!i like it. And im a straight male who thinks its great people should celebrate who they are!,0,0,swa
29,20197,trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,1,1,swa
30,20212,God bless you pastor also! God bless all on here.?,0,0,swa
31,20215,@user @user now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1,1,swa
32,20216,"At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself",0,1,swa
