,tweet,label
0,!!! RT @user: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0
1,!!!!! RT @user: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0
2,!!!!!!! RT @user Dawg!!!! RT @user: You ever fuck a bitch and she start to cry? You be confused as shit,0
3,!!!!!!!!! RT @user: @user she look like a tranny,0
4,!!!!!!!!!!!!! RT @user: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,0
5,"!!!!!!!!!!!!!!!!!!""@user: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",0
6,"!!!!!!""@user: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",0
7,!!!!&#8220;@user: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,0
8,""" &amp; you might not get ya bitch back &amp; thats that """,0
9,""" @user :hobbies include: fighting Mariam""

bitch",0
10,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0
11,""" Murda Gang bitch its Gang Land """,0
12,""" So hoes that smoke are losers ? "" yea ... go on IG",0
13,""" bad bitches is the only thing that i like """,0
14,""" bitch get up off me """,0
15,""" bitch nigga miss me with it """,0
16,""" bitch plz whatever """,0
17,""" bitch who do you love """,0
18,""" bitches get cut off everyday B """,0
19,""" black bottle &amp; a bad bitch """,0
20,""" broke bitch cant tell me nothing """,0
21,""" cancel that bitch like Nino """,0
22,""" cant you see these hoes wont change """,0
23,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",0
24,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",0
25,""" her pussy lips like Heaven doors "" &#128524;",0
26,""" hoe what its hitting for """,0
27,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",0
28,""" i need a trippy bitch who fuck on Hennessy """,0
29,""" i spend my money how i want bitch its my business """,0
30,""" i txt my old bitch my new bitch pussy wetter """,0
31,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",0
32,""" if you aint bout that Murder Game pussy nigga shut up """,0
33,""" if you're toes ain't done you pussy stinks """,0
34,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0
35,""" is that ya bitch """,0
36,""" it aint nothing to cut a bitch off """,0
37,""" jus meet son now he ya mane ass bitches "" #Shots",0
38,""" lames crying over hoes thats tears of a clown """,0
39,""" like Snoop said in 94 we dont love these hoes """,0
40,""" momma said no pussy cats inside my doghouse """,0
41,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",0
42,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",0
43,""" pimps up pimps up hoes down "" Future voice",0
44,""" post a picture of that pussy get 200 likes """,0
45,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",0
46,""" quick piece of pussy call it a drive by """,0
47,""" running round here like some brand new pussy thats bout to get fucked """,0
48,""" these bitches even worst they'll send them guys for you """,0
49,""" these hoes like niggas that spend money not talk bout it """,0
50,""" we dont trust these niggas all these bitches """,0
51,""" yall niggas b cuffing hoes cause yall aint never have bitches """,0
52,""" you dodge a bullet "" &#128517; &#8220;@user: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",0
53,""" young Pill Chamberlain these bitches love my music """,0
54,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@user: Teanna Trump probably cleaner than most of these twitter hoes but.........""",0
55,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@user: Gay niggas couldn't wait to act like bitches tonight""",0
56,"""&#128514;&#128514;&#128514;@user: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @user: @user He a bitch you should do it""",0
57,"""&amp; he's gone always be a hoe""",0
58,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",0
59,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",0
60,"""@user: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",0
61,"""@user: I'm a fucking fag they said""",0
62,"""@user: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",0
63,"""@user: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",0
64,"""@user: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",0
65,"""@user: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",0
66,"""@user: http://t.co/3gzUpfuMev"" woof woof and hot soles",0
