,Unnamed: 0,id,label,cleaned_tweet,cleaned_emoji_tweet
2001,2001,2002,0,makes ?? stick post-it put mirror 😊 📍spotted #sanfrancisco,makes ?? stick post-it put mirror :smiling_face_with_smiling_eyes: :round_pushpin:spotted #sanfrancisco
2002,2002,2003,0,always tears #anime,always tears #anime
2003,2003,2004,0,resurrected twitter dead back guys! conveniently time euros! #euro #europaleaguefinal !,resurrected twitter dead back guys! conveniently time euros! #euro #europaleaguefinal !
2004,2004,2005,0,unfortunate today aids control hate kills days yearly #orlando,unfortunate today aids control hate kills days yearly #orlando
2005,2005,2006,1,#electoralcollege elects presidents #trump #notmypresident #newswithed,#electoralcollege elects presidents #trump #notmypresident #newswithed
2006,2006,2007,0,new script new film #september #film #actor #actorslife #joy #work,new script new film #september #film #actor #actorslife #joy #work
2007,2007,2008,0,absolutely need it! thank the u,absolutely need it! thank the u
2008,2008,2009,0,let us go!!! #weezied #weekend #shopping #friday #love #sunnyskies #smile #enjoy #bbq…,let us go!!! #weezied #weekend #shopping #friday #love #sunnyskies #smile #enjoy #bbq…
2009,2009,2010,0,u pregnant fucking different nights,u pregnant fucking different nights
2010,2010,2011,0,email 🙊🎁,email :speak-no-evil_monkey::wrapped_gift:
2011,2011,2012,0,boy 'happy dance' hearing mon's voice hearing aid course captain oranges(prince,boy 'happy dance' hearing mon's voice hearing aid course captain oranges(prince
2012,2012,2013,0,true look #lgbtqhatestrumppay to side those want access terrorist want dead,true look #lgbtqhatestrumppay to side those want access terrorist want dead
2013,2013,2014,0,begin today? 💜🙌🏽 share would do! 🦄 #namaste #morning…,begin today? :purple_heart::raising_hands_medium_skin_tone: share would do! :unicorn: #namaste #morning…
2014,2014,2015,1,needs fire amp; dumb for hired #genocide promoting ass! hire graduates!,needs fire amp; dumb for hired #genocide promoting ass! hire graduates!
2015,2015,2016,0,best daddy whole world! midday,best daddy whole world! midday
2016,2016,2017,0,wait anymore mr episode hope u wont stretch preach like last week😡 💃,wait anymore mr episode hope u wont stretch preach like last week:enraged_face: :woman_dancing:
2017,2017,2018,0,"⭐⭐⭐⭐⭐ review jacket evans ""i love wanted"" #etsy # #goatmilk",":star::star::star::star::star: review jacket evans ""i love wanted"" #etsy # #goatmilk"
2018,2018,2019,0,private message pm kick wales v england #much,private message pm kick wales v england #much
2019,2019,2020,0,always #daystogokianandjc,always #daystogokianandjc
2020,2020,2021,0,"realized today one ""adults"" since held panama strings get hit #imnotold #letmehitit #ayyyy #jk","realized today one ""adults"" since held panama strings get hit #imnotold #letmehitit #ayyyy #jk"
2021,2021,2022,0,photography secrets one world’s top shutters #justmarried #feeling,photography secrets one world’s top shutters #justmarried #feeling
2022,2022,2023,0,#model love u take u time ur📱!!! 😙😎👄👅💦💦💦,#model love u take u time ur:mobile_phone:!!! :kissing_face_with_smiling_eyes::smiling_face_with_sunglasses::mouth::tongue::sweat_droplets::sweat_droplets::sweat_droplets:
2023,2023,2024,1,"""people colour enjoy equality within #lgbtq community;they excludedmarginalised group""","""people colour enjoy equality within #lgbtq community;they excludedmarginalised group"""
2024,2024,2025,0,new friend maria 😍#chicago #greattime #girlfriend,new friend maria :smiling_face_with_heart-eyes:#chicago #greattime #girlfriend
2025,2025,2026,0,end day #sign #etsy #sparkle #behappy #workhard #woodwork #work #patiodesign #gardening #love,end day #sign #etsy #sparkle #behappy #workhard #woodwork #work #patiodesign #gardening #love
2026,2026,2027,0,first #nodejs #expressjs pp live hero,first #nodejs #expressjs pp live hero
2027,2027,2028,0,us lost wonderful days soon hard day almost 💔 #fathersday,us lost wonderful days soon hard day almost :broken_heart: #fathersday
2028,2028,2029,0,song longer applies,song longer applies
