,model,tuning,scorer,best_params,train_acc,train_prec,train_rec,train_f1,test_acc,test_prec,test_rec,test_f1,clf_rep_train,clf_rep_test
0,BalancedRandomForestClassifier,none,none,,0.8593106816437591,0.5614941278816877,0.9999031758326878,0.7191504178272982,0.7561452059254435,0.4048108304121842,0.7582069277790355,0.5278171788810085,"              precision    recall  f1-score   support

           0       0.93      0.76      0.84     20155
           1       0.40      0.76      0.53      4417

    accuracy                           0.76     24572
   macro avg       0.67      0.76      0.68     24572
weighted avg       0.84      0.76      0.78     24572
","              precision    recall  f1-score   support

           0       0.93      0.76      0.84     20155
           1       0.40      0.76      0.53      4417

    accuracy                           0.76     24572
   macro avg       0.67      0.76      0.68     24572
weighted avg       0.84      0.76      0.78     24572
"
1,BalancedRandomForestClassifier,RandomizedSearchCV,f1,"{'n_estimators': 150, 'max_leaf_nodes': 13, 'max_features': 'sqrt', 'max_depth': 36}",0.7569594641735854,0.3979395448884864,0.6806738962044926,0.5022504822461957,0.75,0.3862677912493411,0.6635725605614671,0.48829654310703874,"              precision    recall  f1-score   support

           0       0.91      0.77      0.83     20155
           1       0.39      0.66      0.49      4417

    accuracy                           0.75     24572
   macro avg       0.65      0.72      0.66     24572
weighted avg       0.82      0.75      0.77     24572
","              precision    recall  f1-score   support

           0       0.91      0.77      0.83     20155
           1       0.39      0.66      0.49      4417

    accuracy                           0.75     24572
   macro avg       0.65      0.72      0.66     24572
weighted avg       0.82      0.75      0.77     24572
"
2,BalancedRandomForestClassifier,RandomizedSearchCV,f1,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 40, 'bootstrap': False}",0.786925277332031,0.4443199245015925,0.7293764523625097,0.552232241038047,0.7660752075533127,0.4103703703703704,0.6898347294543808,0.5146090187468333,"              precision    recall  f1-score   support

           0       0.92      0.78      0.85     20155
           1       0.41      0.69      0.51      4417

    accuracy                           0.77     24572
   macro avg       0.67      0.74      0.68     24572
weighted avg       0.83      0.77      0.79     24572
","              precision    recall  f1-score   support

           0       0.92      0.78      0.85     20155
           1       0.41      0.69      0.51      4417

    accuracy                           0.77     24572
   macro avg       0.67      0.74      0.68     24572
weighted avg       0.83      0.77      0.79     24572
"
3,BalancedRandomForestClassifier,RandomizedSearchCV,target,"{'n_estimators': 150, 'max_leaf_nodes': 13, 'max_features': 'sqrt', 'max_depth': 36}",0.7569594641735854,0.3979395448884864,0.6806738962044926,0.5022504822461957,0.75,0.3862677912493411,0.6635725605614671,0.48829654310703874,"              precision    recall  f1-score   support

           0       0.91      0.77      0.83     20155
           1       0.39      0.66      0.49      4417

    accuracy                           0.75     24572
   macro avg       0.65      0.72      0.66     24572
weighted avg       0.82      0.75      0.77     24572
","              precision    recall  f1-score   support

           0       0.91      0.77      0.83     20155
           1       0.39      0.66      0.49      4417

    accuracy                           0.75     24572
   macro avg       0.65      0.72      0.66     24572
weighted avg       0.82      0.75      0.77     24572
"
4,BalancedRandomForestClassifier,RandomizedSearchCV,f1-macro,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}",0.7829135561292123,0.4370916003326601,0.7124322230828815,0.5417863191223031,0.7642845515220577,0.40650074799401603,0.6767036450079239,0.5079014443500425,"              precision    recall  f1-score   support

           0       0.92      0.78      0.85     20155
           1       0.41      0.68      0.51      4417

    accuracy                           0.76     24572
   macro avg       0.66      0.73      0.68     24572
weighted avg       0.83      0.76      0.78     24572
","              precision    recall  f1-score   support

           0       0.92      0.78      0.85     20155
           1       0.41      0.68      0.51      4417

    accuracy                           0.76     24572
   macro avg       0.66      0.73      0.68     24572
weighted avg       0.83      0.76      0.78     24572
"
5,CatBoostClassifier,none,none,,0.890647604459195,0.9146044075144508,0.8617564462598928,0.8873942952284976,0.8361142764121765,0.5448482060717571,0.5363368802354539,0.5405590416428979,"              precision    recall  f1-score   support

           0       0.90      0.90      0.90     20155
           1       0.54      0.54      0.54      4417

    accuracy                           0.84     24572
   macro avg       0.72      0.72      0.72     24572
weighted avg       0.84      0.84      0.84     24572
","              precision    recall  f1-score   support

           0       0.90      0.90      0.90     20155
           1       0.54      0.54      0.54      4417

    accuracy                           0.84     24572
   macro avg       0.72      0.72      0.72     24572
weighted avg       0.84      0.84      0.84     24572
"
6,CatBoostClassifier,RandomizedSearchCV,f1,"{'scale_pos_weight': 1, 'random_seed': 42, 'learning_rate': 0.1, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 6, 'border_count': 50, 'bagging_temperature': 0.5}",0.8761701131818569,0.9035858574330647,0.8422049187303208,0.871816329901448,0.8327771447175647,0.5349206349206349,0.5340729001584786,0.5344964314036479,"              precision    recall  f1-score   support

           0       0.90      0.90      0.90     20155
           1       0.53      0.53      0.53      4417

    accuracy                           0.83     24572
   macro avg       0.72      0.72      0.72     24572
weighted avg       0.83      0.83      0.83     24572
","              precision    recall  f1-score   support

           0       0.90      0.90      0.90     20155
           1       0.53      0.53      0.53      4417

    accuracy                           0.83     24572
   macro avg       0.72      0.72      0.72     24572
weighted avg       0.83      0.83      0.83     24572
"
7,CatBoostClassifier,RandomizedSearchCV,target,"{'scale_pos_weight': 2, 'random_seed': 42, 'learning_rate': 0.2, 'l2_leaf_reg': 1, 'iterations': 500, 'depth': 6, 'border_count': 50, 'bagging_temperature': 0}",0.9001999829801719,0.8643706659435169,0.9493660114032848,0.9048768123289059,0.7928536545661728,0.44894553178576846,0.6699117047769979,0.5376090116279069,"              precision    recall  f1-score   support

           0       0.92      0.82      0.87     20155
           1       0.45      0.67      0.54      4417

    accuracy                           0.79     24572
   macro avg       0.68      0.74      0.70     24572
weighted avg       0.83      0.79      0.81     24572
","              precision    recall  f1-score   support

           0       0.92      0.82      0.87     20155
           1       0.45      0.67      0.54      4417

    accuracy                           0.79     24572
   macro avg       0.68      0.74      0.70     24572
weighted avg       0.83      0.79      0.81     24572
"
8,CatBoostClassifier,RandomizedSearchCV,f1-macro,"{'scale_pos_weight': 3, 'random_seed': 42, 'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 100, 'depth': 8, 'border_count': 32, 'bagging_temperature': 0.5}",0.5288698834141775,0.514888201347289,0.9984256659007744,0.6794064422728919,0.22318085625915676,0.18751863684771033,0.996604029884537,0.3156460633873512,"              precision    recall  f1-score   support

           0       0.99      0.05      0.10     20155
           1       0.19      1.00      0.32      4417

    accuracy                           0.22     24572
   macro avg       0.59      0.53      0.21     24572
weighted avg       0.84      0.22      0.14     24572
","              precision    recall  f1-score   support

           0       0.99      0.05      0.10     20155
           1       0.19      1.00      0.32      4417

    accuracy                           0.22     24572
   macro avg       0.59      0.53      0.21     24572
weighted avg       0.84      0.22      0.14     24572
"
9,BalancedRandomForestClassifier,optuna,f1,"{'n_estimators': 450, 'max_depth': 95, 'min_samples_split': 4, 'min_samples_leaf': 1}",0.8134549640689318,0.4896333540477939,0.8391750580945004,0.6184309108423419,0.7560231157414944,0.4017679282868526,0.7305863708399366,0.5184352156799743,"              precision    recall  f1-score   support

           0       0.93      0.76      0.84     20155
           1       0.40      0.73      0.52      4417

    accuracy                           0.76     24572
   macro avg       0.66      0.75      0.68     24572
weighted avg       0.83      0.76      0.78     24572
","              precision    recall  f1-score   support

           0       0.93      0.76      0.84     20155
           1       0.40      0.73      0.52      4417

    accuracy                           0.76     24572
   macro avg       0.66      0.75      0.68     24572
weighted avg       0.83      0.76      0.78     24572
"
