vectorization,kernel,degree,C,gamma,random_state,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1
glove,poly,3,0.01,0.01,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,0.01,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,0.01,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,0.1,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,0.1,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,0.1,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,3,0.01,1.0,40,"{0: 1, 1: 1}",0.9920736770589568,0.9986322188449848,0.9953421441284508,13160,0.9794754846066135,0.8910788381742739,0.933188484519283,964,0.9912914188615123,0.8910788381742739,0.9794754846066135,0.933188484519283,0.971408524820207,0.9737998944962194,0.9726027397260273,5687,0.5779036827195467,0.555858310626703,0.5666666666666667,367,0.9484638255698712,0.555858310626703,0.5779036827195467,0.5666666666666667
glove,poly,3,0.01,1.0,42,"{0: 1, 1: 1}",0.9920736770589568,0.9986322188449848,0.9953421441284508,13160,0.9794754846066135,0.8910788381742739,0.933188484519283,964,0.9912914188615123,0.8910788381742739,0.9794754846066135,0.933188484519283,0.971408524820207,0.9737998944962194,0.9726027397260273,5687,0.5779036827195467,0.555858310626703,0.5666666666666667,367,0.9484638255698712,0.555858310626703,0.5779036827195467,0.5666666666666667
glove,poly,3,0.01,1.0,44,"{0: 1, 1: 1}",0.9920736770589568,0.9986322188449848,0.9953421441284508,13160,0.9794754846066135,0.8910788381742739,0.933188484519283,964,0.9912914188615123,0.8910788381742739,0.9794754846066135,0.933188484519283,0.971408524820207,0.9737998944962194,0.9726027397260273,5687,0.5779036827195467,0.555858310626703,0.5666666666666667,367,0.9484638255698712,0.555858310626703,0.5779036827195467,0.5666666666666667
glove,poly,4,0.01,0.01,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,4,0.01,0.01,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,4,0.01,0.01,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,4,0.01,0.1,40,"{0: 1, 1: 1}",0.931879337204362,1.0,0.9647386555237886,13160,1.0,0.002074688796680498,0.004140786749482402,964,0.9318889832908525,0.002074688796680498,1.0,0.004140786749482402,0.93953411531472,1.0,0.968824531516184,5687,1.0,0.0027247956403269754,0.005434782608695652,367,0.9395441030723488,0.0027247956403269754,1.0,0.005434782608695652
glove,poly,4,0.01,0.1,42,"{0: 1, 1: 1}",0.931879337204362,1.0,0.9647386555237886,13160,1.0,0.002074688796680498,0.004140786749482402,964,0.9318889832908525,0.002074688796680498,1.0,0.004140786749482402,0.93953411531472,1.0,0.968824531516184,5687,1.0,0.0027247956403269754,0.005434782608695652,367,0.9395441030723488,0.0027247956403269754,1.0,0.005434782608695652
glove,poly,4,0.01,0.1,44,"{0: 1, 1: 1}",0.931879337204362,1.0,0.9647386555237886,13160,1.0,0.002074688796680498,0.004140786749482402,964,0.9318889832908525,0.002074688796680498,1.0,0.004140786749482402,0.93953411531472,1.0,0.968824531516184,5687,1.0,0.0027247956403269754,0.005434782608695652,367,0.9395441030723488,0.0027247956403269754,1.0,0.005434782608695652
glove,poly,4,0.01,1.0,40,"{0: 1, 1: 1}",1.0,1.0,1.0,13160,1.0,1.0,1.0,964,1.0,1.0,1.0,1.0,0.9728963684676705,0.9657112713205557,0.9692905047652666,5687,0.5232273838630807,0.5831062670299727,0.5515463917525772,367,0.9425173439048563,0.5831062670299727,0.5232273838630807,0.5515463917525772
glove,poly,4,0.01,1.0,42,"{0: 1, 1: 1}",1.0,1.0,1.0,13160,1.0,1.0,1.0,964,1.0,1.0,1.0,1.0,0.9728963684676705,0.9657112713205557,0.9692905047652666,5687,0.5232273838630807,0.5831062670299727,0.5515463917525772,367,0.9425173439048563,0.5831062670299727,0.5232273838630807,0.5515463917525772
glove,poly,4,0.01,1.0,44,"{0: 1, 1: 1}",1.0,1.0,1.0,13160,1.0,1.0,1.0,964,1.0,1.0,1.0,1.0,0.9728963684676705,0.9657112713205557,0.9692905047652666,5687,0.5232273838630807,0.5831062670299727,0.5515463917525772,367,0.9425173439048563,0.5831062670299727,0.5232273838630807,0.5515463917525772
glove,poly,5,0.01,0.01,40,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,5,0.01,0.01,42,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,5,0.01,0.01,44,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
glove,poly,5,0.01,0.1,40,"{0: 1, 1: 1}",0.9325396825396826,1.0,0.9650924024640657,13160,1.0,0.012448132780082987,0.02459016393442623,964,0.9325969980175588,0.012448132780082987,1.0,0.02459016393442623,0.9395241242564442,0.9998241603657464,0.9687366896669222,5687,0.5,0.0027247956403269754,0.0054200542005420045,367,0.9393789230260985,0.0027247956403269754,0.5,0.0054200542005420045
glove,poly,5,0.01,0.1,42,"{0: 1, 1: 1}",0.9325396825396826,1.0,0.9650924024640657,13160,1.0,0.012448132780082987,0.02459016393442623,964,0.9325969980175588,0.012448132780082987,1.0,0.02459016393442623,0.9395241242564442,0.9998241603657464,0.9687366896669222,5687,0.5,0.0027247956403269754,0.0054200542005420045,367,0.9393789230260985,0.0027247956403269754,0.5,0.0054200542005420045
glove,poly,5,0.01,0.1,44,"{0: 1, 1: 1}",0.9325396825396826,1.0,0.9650924024640657,13160,1.0,0.012448132780082987,0.02459016393442623,964,0.9325969980175588,0.012448132780082987,1.0,0.02459016393442623,0.9395241242564442,0.9998241603657464,0.9687366896669222,5687,0.5,0.0027247956403269754,0.0054200542005420045,367,0.9393789230260985,0.0027247956403269754,0.5,0.0054200542005420045
glove,poly,5,0.01,1.0,40,"{0: 1, 1: 1}",1.0,1.0,1.0,13160,1.0,1.0,1.0,964,1.0,1.0,1.0,1.0,0.9734136830911024,0.9657112713205557,0.9695471798040427,5687,0.5266990291262136,0.5912806539509536,0.5571245186136071,367,0.9430128840436075,0.5912806539509536,0.5266990291262136,0.5571245186136071
glove,poly,5,0.01,1.0,42,"{0: 1, 1: 1}",1.0,1.0,1.0,13160,1.0,1.0,1.0,964,1.0,1.0,1.0,1.0,0.9734136830911024,0.9657112713205557,0.9695471798040427,5687,0.5266990291262136,0.5912806539509536,0.5571245186136071,367,0.9430128840436075,0.5912806539509536,0.5266990291262136,0.5571245186136071
glove,poly,5,0.01,1.0,44,"{0: 1, 1: 1}",1.0,1.0,1.0,13160,1.0,1.0,1.0,964,1.0,1.0,1.0,1.0,0.9734136830911024,0.9657112713205557,0.9695471798040427,5687,0.5266990291262136,0.5912806539509536,0.5571245186136071,367,0.9430128840436075,0.5912806539509536,0.5266990291262136,0.5571245186136071
