kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
rbf,3,0.01,0.01,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,3,0.01,0.01,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,3,0.01,0.1,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,3,0.01,0.1,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,3,0.01,1.0,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,3,0.01,1.0,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,4,0.01,0.01,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,4,0.01,0.01,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,4,0.01,0.1,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,4,0.01,0.1,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,4,0.01,1.0,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,4,0.01,1.0,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,5,0.01,0.01,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,5,0.01,0.01,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,5,0.01,0.1,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,5,0.01,0.1,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,5,0.01,1.0,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,5,0.01,1.0,"{0: 1, 1: 1}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,3,0.01,0.01,"{0: 1, 1: 3}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,3,0.01,0.01,"{0: 1, 1: 3}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
rbf,3,0.01,0.1,"{0: 1, 1: 3}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
poly,3,0.01,0.1,"{0: 1, 1: 3}",0.999379106948828,0.9984276729559748,0.9921875,0.9952978056426331,0.9596764457322227,0.4371482176360225,0.8726591760299626,0.5825
