vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.01,1.0,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 1}",0.9324452209361578,0.002150537634408602,1.0,0.004291845493562232,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 1}",0.9324452209361578,0.002150537634408602,1.0,0.004291845493562232,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 1}",0.9324452209361578,0.002150537634408602,1.0,0.004291845493562232,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 3}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 3}",0.9492611196039892,0.3193548387096774,0.8227146814404432,0.4601084430673896,0.947860054347826,0.26737967914438504,0.7518796992481203,0.39447731755424065
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 3}",0.9492611196039892,0.3193548387096774,0.8227146814404432,0.4601084430673896,0.947860054347826,0.26737967914438504,0.7518796992481203,0.39447731755424065
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 3}",0.9492611196039892,0.3193548387096774,0.8227146814404432,0.4601084430673896,0.947860054347826,0.26737967914438504,0.7518796992481203,0.39447731755424065
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.01,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,0.1,"{0: 1, 1: 5}",0.9322996287398996,0.0,0.0,0.0,0.9366508152173914,0.00267379679144385,1.0,0.005333333333333333
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 5}",0.9563223411225158,0.5494623655913978,0.7384393063583815,0.6300863131935882,0.9504076086956522,0.42513368983957217,0.673728813559322,0.521311475409836
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 5}",0.9563223411225158,0.5494623655913978,0.7384393063583815,0.6300863131935882,0.9504076086956522,0.42513368983957217,0.673728813559322,0.521311475409836
tfidf,sigmoid,X,0.1,1.0,"{0: 1, 1: 5}",0.9563223411225158,0.5494623655913978,0.7384393063583815,0.6300863131935882,0.9504076086956522,0.42513368983957217,0.673728813559322,0.521311475409836
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
tfidf,sigmoid,X,1.0,0.01,"{0: 1, 1: 1}",0.9322996287398996,0.0,0.0,0.0,0.9364809782608695,0.0,0.0,0.0
