vectorization,kernel,degree,C,gamma,class_weight,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
w2v,poly,3,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,3,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,3,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,3,0.01,0.1,"{0: 1, 1: 1}",0.9346502407250071,0.0508298755186722,0.8596491228070176,0.0959843290891283,0.9418566237198547,0.04904632152588556,0.8571428571428571,0.09278350515463919
w2v,poly,3,0.01,0.1,"{0: 1, 1: 1}",0.9346502407250071,0.0508298755186722,0.8596491228070176,0.0959843290891283,0.9418566237198547,0.04904632152588556,0.8571428571428571,0.09278350515463919
w2v,poly,3,0.01,0.1,"{0: 1, 1: 1}",0.9346502407250071,0.0508298755186722,0.8596491228070176,0.0959843290891283,0.9418566237198547,0.04904632152588556,0.8571428571428571,0.09278350515463919
w2v,poly,3,0.01,1.0,"{0: 1, 1: 1}",0.9830784480317191,0.7676348547717843,0.9801324503311258,0.8609656777196045,0.9372315824248431,0.4768392370572207,0.4820936639118457,0.4794520547945206
w2v,poly,3,0.01,1.0,"{0: 1, 1: 1}",0.9830784480317191,0.7676348547717843,0.9801324503311258,0.8609656777196045,0.9372315824248431,0.4768392370572207,0.4820936639118457,0.4794520547945206
w2v,poly,3,0.01,1.0,"{0: 1, 1: 1}",0.9830784480317191,0.7676348547717843,0.9801324503311258,0.8609656777196045,0.9372315824248431,0.4768392370572207,0.4820936639118457,0.4794520547945206
w2v,poly,4,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,4,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,4,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,4,0.01,0.1,"{0: 1, 1: 1}",0.9405267629566695,0.13796680497925312,0.9366197183098591,0.24050632911392403,0.94400396432111,0.10899182561307902,0.7692307692307693,0.19093078758949883
w2v,poly,4,0.01,0.1,"{0: 1, 1: 1}",0.9405267629566695,0.13796680497925312,0.9366197183098591,0.24050632911392403,0.94400396432111,0.10899182561307902,0.7692307692307693,0.19093078758949883
w2v,poly,4,0.01,0.1,"{0: 1, 1: 1}",0.9405267629566695,0.13796680497925312,0.9366197183098591,0.24050632911392403,0.94400396432111,0.10899182561307902,0.7692307692307693,0.19093078758949883
w2v,poly,4,0.01,1.0,"{0: 1, 1: 1}",0.9970971396205041,0.9585062240663901,0.9989189189189189,0.9782953943885653,0.9195573174760489,0.5095367847411444,0.3785425101214575,0.4343786295005807
w2v,poly,4,0.01,1.0,"{0: 1, 1: 1}",0.9970971396205041,0.9585062240663901,0.9989189189189189,0.9782953943885653,0.9195573174760489,0.5095367847411444,0.3785425101214575,0.4343786295005807
w2v,poly,4,0.01,1.0,"{0: 1, 1: 1}",0.9970971396205041,0.9585062240663901,0.9989189189189189,0.9782953943885653,0.9195573174760489,0.5095367847411444,0.3785425101214575,0.4343786295005807
w2v,poly,5,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,5,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,5,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,0.0,0.0,0.0
w2v,poly,5,0.01,0.1,"{0: 1, 1: 1}",0.9459784763523081,0.21784232365145229,0.958904109589041,0.35502958579881655,0.9448298645523621,0.16348773841961853,0.6896551724137931,0.2643171806167401
w2v,poly,5,0.01,0.1,"{0: 1, 1: 1}",0.9459784763523081,0.21784232365145229,0.958904109589041,0.35502958579881655,0.9448298645523621,0.16348773841961853,0.6896551724137931,0.2643171806167401
w2v,poly,5,0.01,0.1,"{0: 1, 1: 1}",0.9459784763523081,0.21784232365145229,0.958904109589041,0.35502958579881655,0.9448298645523621,0.16348773841961853,0.6896551724137931,0.2643171806167401
w2v,poly,5,0.01,1.0,"{0: 1, 1: 1}",0.9990087793826111,0.9854771784232366,1.0,0.9926854754440961,0.9013875123885035,0.4986376021798365,0.3070469798657718,0.38006230529595014
