vectorization,kernel,degree,C,gamma,class_weight,train_precision_0,train_recall_0,train_f1_0,train_support_0,train_precision_1,train_recall_1,train_f1_1,train_support_1,train_accuracy,train_recall,train_precision,train_f1,test_precision_0,test_recall_0,test_f1_0,test_support_0,test_precision_1,test_recall_1,test_f1_1,test_support_1,test_accuracy,test_recall,test_precision,test_f1
w2v,sigmoid,X,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
w2v,sigmoid,X,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
w2v,sigmoid,X,0.01,0.01,"{0: 1, 1: 1}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
w2v,sigmoid,X,0.01,0.1,"{0: 1, 1: 1}",0.9316062913671624,0.9946808510638298,0.962110911028628,13160,0.0410958904109589,0.0031120331950207467,0.005785920925747348,964,0.9270036816765789,0.0031120331950207467,0.0410958904109589,0.005785920925747348,0.9398071167276355,0.9938456128011254,0.9660712759593197,5687,0.125,0.013623978201634877,0.02457002457002457,367,0.9344235216385861,0.013623978201634877,0.125,0.02457002457002457
w2v,sigmoid,X,0.01,0.1,"{0: 1, 1: 1}",0.9316062913671624,0.9946808510638298,0.962110911028628,13160,0.0410958904109589,0.0031120331950207467,0.005785920925747348,964,0.9270036816765789,0.0031120331950207467,0.0410958904109589,0.005785920925747348,0.9398071167276355,0.9938456128011254,0.9660712759593197,5687,0.125,0.013623978201634877,0.02457002457002457,367,0.9344235216385861,0.013623978201634877,0.125,0.02457002457002457
w2v,sigmoid,X,0.01,0.1,"{0: 1, 1: 1}",0.9316062913671624,0.9946808510638298,0.962110911028628,13160,0.0410958904109589,0.0031120331950207467,0.005785920925747348,964,0.9270036816765789,0.0031120331950207467,0.0410958904109589,0.005785920925747348,0.9398071167276355,0.9938456128011254,0.9660712759593197,5687,0.125,0.013623978201634877,0.02457002457002457,367,0.9344235216385861,0.013623978201634877,0.125,0.02457002457002457
w2v,sigmoid,X,0.01,1.0,"{0: 1, 1: 1}",0.9395592245890765,0.9686170212765958,0.9538668761926142,13160,0.2585278276481149,0.14937759336099585,0.18934911242603547,964,0.9127017841971113,0.14937759336099585,0.2585278276481149,0.18934911242603547,0.9447494852436513,0.9681730262001055,0.9563178462874511,5687,0.19911504424778761,0.1226158038147139,0.15177065767284992,367,0.9169144367360423,0.1226158038147139,0.19911504424778761,0.15177065767284992
w2v,sigmoid,X,0.01,1.0,"{0: 1, 1: 1}",0.9395592245890765,0.9686170212765958,0.9538668761926142,13160,0.2585278276481149,0.14937759336099585,0.18934911242603547,964,0.9127017841971113,0.14937759336099585,0.2585278276481149,0.18934911242603547,0.9447494852436513,0.9681730262001055,0.9563178462874511,5687,0.19911504424778761,0.1226158038147139,0.15177065767284992,367,0.9169144367360423,0.1226158038147139,0.19911504424778761,0.15177065767284992
w2v,sigmoid,X,0.01,1.0,"{0: 1, 1: 1}",0.9395592245890765,0.9686170212765958,0.9538668761926142,13160,0.2585278276481149,0.14937759336099585,0.18934911242603547,964,0.9127017841971113,0.14937759336099585,0.2585278276481149,0.18934911242603547,0.9447494852436513,0.9681730262001055,0.9563178462874511,5687,0.19911504424778761,0.1226158038147139,0.15177065767284992,367,0.9169144367360423,0.1226158038147139,0.19911504424778761,0.15177065767284992
w2v,sigmoid,X,0.01,0.01,"{0: 1, 1: 3}",0.9317473803455112,1.0,0.9646679372526022,13160,0.0,0.0,0.0,964,0.9317473803455112,0.0,0.0,0.0,0.9393789230260985,1.0,0.9687420151605485,5687,0.0,0.0,0.0,367,0.9393789230260985,0.0,0.0,0.0
