,id,label,cleaned_tweet,cleaned_emoji_tweet
4001,4002,0,wohoooo got lets see dearest sweet lui thank u admit bihdayameeshapatel,wohoooo got lets see dearest sweet lui thank u admit bihdayameeshapatel
4002,4003,0,wasted much money food years ain't even funny #ripmoney #bcfood,wasted much money food years ain't even funny #ripmoney #bcfood
4003,4004,0,i've met love much!! #blessed,i've met love much!! #blessed
4004,4005,0,#bihday leo's mon #celia,#bihday leo's mon #celia
4005,4006,0,new year sex photo couple sex,new year sex photo couple sex
4006,4007,0,arrived sky high!,arrived sky high!
4007,4008,0,next stop woods! #love #live #wonderful #instame #peace #amo #smile #felicidade #feliz …,next stop woods! #love #live #wonderful #instame #peace #amo #smile #felicidade #feliz …
4008,4009,0,thankful energy #thankful #positive,thankful energy #thankful #positive
4009,4010,0,#alwayslookonthebrightsideoflife! secrets #happiness #wellness #psychology,#alwayslookonthebrightsideoflife! secrets #happiness #wellness #psychology
4010,4011,0,feel children's story recognizing expressing managing anger male,feel children's story recognizing expressing managing anger male
4011,4012,0,#fathers #day #supperdad #nikonion #nikkoreyes #indiaclicks #mansoon #rainy #season…,#fathers #day #supperdad #nikonion #nikkoreyes #indiaclicks #mansoon #rainy #season…
4012,4013,0,ready morning! fixing head #prosperendingnow,ready morning! fixing head #prosperendingnow
4013,4014,0,"forget incantation ""i've always winner"" say together opponents spontaneously combat","forget incantation ""i've always winner"" say together opponents spontaneously combat"
4014,4015,0,where's season ten!?!?! #fairytale #anime #natsu #lucy #erza #gray #wendy #charle #gajeel #makarov #marijane #lisanna #elfman,where's season ten!?!?! #fairytale #anime #natsu #lucy #erza #gray #wendy #charle #gajeel #makarov #marijane #lisanna #elfman
4015,4016,0,#lawofattraction #healing!! #altwaystoheal #healthy !!,#lawofattraction #healing!! #altwaystoheal #healthy !!
4016,4017,0,💕 👸 💗 🔝 #love #instagood #photooftheday toptags #tbt #cute #me #beautiful #followme …,:two_hearts: :princess: :growing_heart: :TOP_arrow: #love #instagood #photooftheday toptags #tbt #cute #me #beautiful #followme …
4017,4018,0,degree shows open tonight #summershows,degree shows open tonight #summershows
4018,4019,0,hey u guns donna release to strip australia? need buy asap!! wait longer hahahahaaa,hey u guns donna release to strip australia? need buy asap!! wait longer hahahahaaa
4019,4020,0,remember clean fun sad depressed void yesteryear bad food service vices,remember clean fun sad depressed void yesteryear bad food service vices
4020,4021,0,abbe thank u everything u #fathers day,abbe thank u everything u #fathers day
4021,4022,0,heads up! to opened k section cycle new # #cycleon #cycledurham,heads up! to opened k section cycle new # #cycleon #cycledurham
4022,4023,0,best garden ever! 🌺🌷🌳🌸🍄 #secretgarden #childhood #mikey #three #threeyearsold #💙,best garden ever! :hibiscus::tulip::deciduous_tree::cherry_blossom::mushroom: #secretgarden #childhood #mikey #three #threeyearsold #:blue_heart:
